question_id ;question_english;correct_answer_english;incorrect_answer_1_english;incorrect_answer_2_english;incorrect_answer_3_english;question_french;correct_answer_french;incorrect_answer_1_french;incorrect_answer_2_french;incorrect_answer_3_french
B-001-001-001;Which document assigns the authority to make Canadian regulations governing radiocommunications?;The Radiocommunication Act;The Broadcasting Act;The Standards for the Operation of Radio Stations in the Amateur Radio Service;The International Telecommunication Union's Radio Regulations;De quel document découle le pouvoir d'établir des règlements sur la radiocommunication au Canada?;La Loi sur la radiocommunication;La Loi sur la radiodiffusion;Les Normes relatives à l'exploitation des stations radio du service de radioamateur;Le Règlement des radiocommunications de l'Union internationale des télécommunications
B-001-001-002;Which document assigns the authority to publish Standards for the Operation of Radio Stations in the Amateur Radio Service in Canada?;The Radiocommunication Act;The Radiocommunication Regulations;The Broadcasting Act;The International Telecommunication Union's Radio Regulations;De quel document découle le pouvoir d'établir des "Normes relatives à l'exploitation des stations radio du service de radioamateur" au Canada?;La Loi sur la radiocommunication;Le Règlement sur la radiocommunication;La Loi sur la radiodiffusion;Le Règlement des radiocommunications de l'Union internationale des télécommunications
B-001-001-003;Which department is responsible for the administration of the Radiocommunication Act?;Innovation, Science and Economic Development Canada;Transport Canada;Communications Security Establishment Canada;National Defence;Quel est le ministère responsable de l'application de la Loi sur la radiocommunication?;Innovation, Sciences et Développement économique Canada;Transports Canada;Le Centre de la sécurité des télécommunications Canada;Défense nationale
B-001-001-004;Which document defines the Canadian "amateur radio service"?;The Radiocommunication Regulations;The Radiocommunication Act;The Standards for the Operation of Radio Stations in the Amateur Radio Service;The Radio Systems Policies;Quel document définit le "service de radioamateur" au Canada?;Le Règlement sur la radiocommunication;La Loi sur la radiocommunication;Les Normes relatives à l'exploitation des stations radio du service de radioamateur;La Politique des systèmes radio
B-001-002-001;What must you do within 30 days of a mailing address change?;Inform Innovation, Science and Economic Development Canada;Inform your local amateur radio club;Inform an accredited examiner;Inform Radio Amateurs of Canada (RAC);Que devez-vous faire dans les 30 jours suivants un changement d'adresse?;Informer Innovation, Sciences et Développement économique Canada;Informer votre club radio amateur local;Informer un examinateur accrédité;Informer Radio Amateurs du Canada (RAC)
B-001-002-002;An Amateur Radio Operator Certificate is valid for:;life;five years;three years;one year;Le certificat d'opérateur radioamateur est valide pour:;la vie;cinq ans;trois ans;un an
B-001-002-003;Whenever a change of address is made:;you must notify Innovation, Science and Economic Development Canada within 30 days of a change of mailing address;you must notify Innovation, Science and Economic Development Canada within 14 days of operation at the new address;you must not operate until a change of address card is forwarded to Innovation, Science and Economic Development Canada;within the same province, you do not need to notify Innovation, Science and Economic Development Canada;Lorsqu'il y a un changement d'adresse:;vous devez informer Innovation, Sciences et Développement économique Canada dans un délai maximal de 30 jours du changement;vous devez informer Innovation, Sciences et Développement économique Canada dans un délai maximal de 14 jours suivant la mise en service à la nouvelle adresse;vous devez suspendre l'exploitation de la station jusqu'à ce qu'Innovation, Sciences et Développement économique Canada soit notifié;il n'est pas nécessaire d'informer Innovation, Sciences et Développement économique Canada si la nouvelle adresse se trouve dans la même province
B-001-002-004;The Amateur Radio Operator Certificate:;must be retained at the station;must be put on file;must be kept in a safe place;must be kept on the person to whom it is issued;Le certificat d'opérateur radioamateur doit:;être conservé à la station;être versé dans un dossier;être conservé dans un endroit sûr;être conservé sur sa personne par le titulaire
B-001-002-005;A radio inspector asks to see your Amateur Radio Operator Certificate, or a copy thereof. Per the regulations, how many hours are you given to comply?;48;12;24;72;Un inspecteur de la radio demande à voir votre certificat d'opérateur radioamateur, ou une copie de celui-ci. Selon le règlement, combien d'heures avez-vous pour satisfaire sa demande?;48;12;24;72
B-001-002-006;What is the fee for a first Amateur Radio Operator Certificate?;Free;$32;$10;$24;Quel est le droit applicable pour le premier certificat d'opérateur radioamateur?;Gratuit;32 $;10 $;24 $
B-001-002-007;The Amateur Radio Operator Certificate should be:;retained at the address provided to Innovation, Science and Economic Development Canada;retained in a safety deposit box;retained on the holder's person;retained in the holder's vehicle;Le certificat d'opérateur radioamateur devrait:;être conservé à l'adresse indiquée à Innovation, Sciences et Développement économique Canada;être conservé dans un coffret de sûreté;être conservé sur sa personne par le titulaire;être conservé dans le véhicule du titulaire
B-001-002-008;What is the fee to issue a replacement call sign with a new prefix, due to a change in address to a new province or territory?;Free;$25;$40;$60;Quel droit est applicable à l'attribution d'un indicatif d'appel de remplacement avec un nouveau préfixe, en raison d'un changement d'adresse dans une nouvelle province ou un nouveau territoire?;Gratuit;25 $;40 $;60 $
B-001-002-009;What is the fee for changing an existing call sign (including changing to a two-letter call sign)?;$60;$55;$30;Free;Quel droit est applicable au changement d'un indicatif d'appel existant (y compris le passage à un indicatif d'appel à deux lettres)?;60 $;55 $;30 $;Gratuit
